;Column1;level_0;Id;Text;Label
0;0;33048;33048;@eckhard_neubert @maischberger @n_roettgen @DasErste Leider falsch...hast du beweise ? Ich kann auch nicht einfach so sagen, das dein PAPA/Großvater Kindermörder oder ist?! https://t.co/Kybwt1kQY0;Choose�
1;1;10274;10274;@phoenix_de @Ricarda_Lang @Die_Gruenen Wie dreist sich unser Klöppschen über das Totalversagen, ihrer dünnen Studienabbruchskollegin hinwegsetzt, was 134 Menschen das Leben gekostet hat. Bei einem CDU Minister würde man da sicher härtere Maßstäbe anlegen.;Choose�
2;2;66195;66195;@AfDProtschka Und ich wünsche Ihnen Flöhe am Arsch und zu kurze Arme, um sich am Arsch zu kratzen.;Choose�
3;3;56652;56652;@Karl_Lauterbach Jetzt gibt es eine neue Sau die durchs Dorf getrieben wird. Sie können die Pandemie beenden😊. 🇩🇪 wird immer mehr zur Lachnummer.;Choose�
4;4;225;225;@ernst_klaus Geh und halt die Backen, du witzfigur.;Choose�
5;5;7358;7358;"@Leander123454 @Beatrix_vStorch ""... Schiessbefehl auf Frauen und Kinder..."" Seit wann ist Frau von Storch, ein Mann, in der SPD und Oberbürgermeister von Ostfildern?

Unter Androhung von ""Waffengewalt"" – Stadt Ostfildern verbietet Demos gegen Corona-Regeln — RT DE https://t.co/ySIViRHl64";Choose�
6;6;43759;43759;@ManuelaSchwesig @Karl_Lauterbach Ah ja und haufen Nebenwirkungen, ich hole mir keine spritze mehr;Choose�
7;7;14659;14659;@janfleischhauer @EskenSaskia @ArminLaschet Und ich weiß, warum ich einen Kanzler Laschet wollte. Damit genau solche Eskalationsspiralen nicht passieren, die er mit seinem ausgleichenden Wesen verhindert hätte. Deutschland hat wiederholt Pech gehabt, offensichtlich verdienen wir es nicht anders.;Choose�
8;8;32432;32432;@janoschdahmen @dieschmidt @till_steffen @MAStrackZi @KatrinHelling @DirkWieseSPD Meine gute Erziehung hält mich mit allerletzter Kraft davon ab, Ihnen zu sagen, was ich von diesem brechreizerregenden Pamphlet halte. Möge Ihnen dieser Mist politisch, gesellschaftlich und juristisch verdientermaßen um die Ohren fliegen. 🤬;Choose�
9;9;46706;46706;"@Karl_Lauterbach Nur deshalb, weil so viele Leute positiv GETESTET wurden, aber vom Schnupfen kaum etwas merken. Hört endlich auf mit den unsinnigen Tests und der dämlichen Isolation und lebt endlich wieder euer Leben! Und kommt endlich runter von eurem ""die Ungeimpften sind schuld""-Scheiss!";Choose�
10;10;28143;28143;"@MarcoBuschmann @oida_grantler hat die Klatsche von gestern noch nicht gereicht ?am 09.05 bekommt ihr die nächste in Schleswig Holstein und ich freue mich drauf. das wird ne Party. #FDPrausausderRegierung 
#FDPunter5Prozent 
#FDPrausausdenParlamenten";Choose�
11;11;43333;43333;@Karl_Lauterbach Es wundert mich sehr , daß die Bürger des Landes immer wieder die etablierten Parteien wählen. Es läuft alles falsch. Es wundert mich!;Choose�
12;12;73638;73638;"@Dzienus @emiliafester mein Gott was für ein Niveau haben wir erreicht........
es ist nur noch traurig
Ihr hättet Euch alle in der Hitler Jugend wohlgefühlt!
Nein ihr Youngsters mit Null Covidrisiko 
schreibt mir mit 64 nicht vor was ich mir spritzen lasse!!!
Dr Mengele lässt grüssen.";Choose�
13;13;61789;61789;@niklasflier @Fladdeh1 @Crawlin70586423 @Karl_Lauterbach Frag dich mal lieber, was diese ohne Langzeitstudien Plörre bei Kindern anrichtet, wenn jetzt schon sogar in der Welt Kinder an Myokarditis oder Herzinfarkte sterben durch die Impfung. Sorry, ich möchte dieses Gespräch weiter führen. Du bist einfach Narrativ besessen und ignorant;Choose�
14;14;12118;12118;@Ricarda_Lang Frau Lang sie sollten sich Hilfe holen, vor allem für das Absetzen von Tweets, es wird immer peinlicher und schon so mancher hat sich um Kopf und Kragen gepostet/getweetet. Sie machen hier eine sehr schlechte Figur und kommen dumm rüber.;Choose�
15;15;84320;84320;@janoschdahmen Nichts muss! Sie machen sich lächerlich. Soll das ihre Endlösung sein?;Choose�
16;16;78601;78601;@visevic @janboehm @ABaerbock Na, die Frau ist ja auch nicht nur einfach so Außenministerin sie hat schon was drauf. Wobei diese Analyse auch keine Hexerei war, sondern eher offensichtlich. Der Rest der Pappenheimer ist nur naiv und wirtschaftshörig.;Choose�
17;17;46204;46204;@WDRaktuell @Karl_Lauterbach Weniger ansatzloses testen = weniger sinnlose Quarantäne = weniger Arbeitsausfälle = Der Spuk ist vorbei. Machen andere Länder genauso, nur Deutschland ist hier wieder mal Schlusslicht;Choose�
18;18;38437;38437;@MullerEvil @Blumenstrang @_FriedrichMerz Unsinn. Diese Länder haben in eigener freier Selbstbestimmung so entschieden. Ein Sachverhalt den Putin gerne unterschlägt. Ich würde bei freier Wahl auch nicht weiter im Russenmagazin einkaufen wollen sondern lieber im Intershop.😜;Choose�
19;19;60432;60432;"@mitahruna @papool_ @Karl_Lauterbach Vielleicht einfach als Andersdenkende oder bekloppte. 
oder man lässt sowas nur zum 1. Mai zu, dann is die Gefahr geringer das Rechte mitlaufen :)

Diese Brut nutzt jede Gelegenheit, die läuft sogar mit wenn leute dagegen sind, weil sie dagegen sind.";Choose�
20;20;1429;1429;@PPunkstrumpf @voglerk @SandraausHGW Mir so etwas zu unterstellen und sich damit in die Opferrolle zu begeben, finde ich ehrlich gesagt richtig cringe.;Choose�
21;21;589;589;@mtaushb @cdm2311 @NbutNet @SWagenknecht @dieLinke Der Vogel hat irgendwie nicht verstanden, worum es ging.;Choose�
